shipping_cost,profit_margin
35.46,0.2601470588235294
9.72,0.3003
8.17,0.4490909090909091
4.82,-0.579
4.7,0.33131578947368423
1.8,0.27894545454545455
24.1,0.009936305732484076
125.32,0.4000434782608696
107.1,-0.35028947368421054
81.26,0.37979010494752624
33.75,-0.36331508875739643
21.32,-0.3336469194312796
12.56,0.3400819672131148
10.4,0.25974093264248704
10.07,-0.6017358490566038
8.43,0.23015384615384615
8.41,0.348780487804878
8.34,0.049565217391304345
8.17,-0.38278260869565217
7.74,-0.34001333333333333
7.46,0.13175
5.91,0.1494230769230769
5.16,0.1403225806451613
5.11,0.33037037037037037
3.57,0.36319148936170215
0.8,0.09100000000000001
0.54,0.24529411764705883
42.28,0.05955156950672645
16.39,0.01935483870967742
10.78,0.14914285714285713
10.38,0.18899328859060402
9.54,0.2977604819277109
7.04,-1.4575135135135135
4.25,0.18105263157894735
3.94,0.05894736842105264
3.51,0.19692307692307692
2.11,-0.811111111111111
1.82,0.34695
1.54,0.5066666666666667
0.9,-0.061764705882352944
0.82,0.174
0.51,0.35000000000000003
20.64,0.36985507246376814
15.27,0.228
13.59,-0.23727032967032965
5.82,0.4677551020408164
0.99,0.355975
0.55,-1.37175
39.98,0.11
6.2,0.120168
3.62,0.32520666666666664
2.63,-0.6608341463414634
2.45,0.2971615384615385
2.0,0.4542857142857143
1.96,0.4229032258064516
1.85,0.24420000000000003
88.07,0.4499852459016393
62.37,0.28998520408163264
52.46,0.179765625
46.97,-0.30721348314606745
42.19,-0.16364233576642337
32.46,0.1999441340782123
26.2,0.06651417525773196
23.84,0.41068965517241374
13.82,0.2699857142857143
13.7,0.18866666666666668
9.73,0.06818181818181818
5.72,0.23372903225806452
4.37,0.49111578947368423
4.36,0.16021978021978023
3.94,0.13953488372093023
3.69,0.12631578947368421
3.51,0.40306153846153847
3.21,-0.16644444444444442
2.88,0.28384615384615386
2.19,0.010038709677419355
1.13,0.4297714285714286
0.89,0.30333333333333334
0.52,0.29592
0.28,-0.020999999999999998
65.64,-1.0249604863221884
33.67,0.4597481108312343
6.69,-0.6975272727272728
5.66,0.406
3.91,-0.47974137931034483
0.82,-0.9084
0.63,-1.82525
34.99,-0.048345
17.09,-0.8851932203389831
10.08,-0.01884493670886076
7.93,0.26445967741935483
5.55,0.08824038461538461
3.31,0.39763333333333334
0.69,-0.19083333333333333
