order_date,avg_profit_margin,month_start
2011-01,-0.015089801352321092,2011-01-01
2011-02,0.03261726148494653,2011-02-01
2011-03,0.07636108381300157,2011-03-01
2011-04,0.04661454499136913,2011-04-01
2011-05,0.03378559587636841,2011-05-01
2011-06,-0.02398792731720094,2011-06-01
2011-07,0.02033083746283596,2011-07-01
2011-08,0.04237085963090029,2011-08-01
2011-09,0.0700581640412297,2011-09-01
2011-10,0.04723793032292085,2011-10-01
2011-11,0.03257023022707834,2011-11-01
2011-12,0.03107977376433252,2011-12-01
2012-01,0.03225493234628681,2012-01-01
2012-02,0.019262150392614585,2012-02-01
2012-03,0.01545234610120325,2012-03-01
2012-04,0.04046006726183155,2012-04-01
2012-05,0.035243092596635786,2012-05-01
2012-06,0.0251253339125937,2012-06-01
2012-07,0.01646906613543469,2012-07-01
2012-08,0.05831273285804871,2012-08-01
2012-09,0.04733205001280658,2012-09-01
2012-10,0.07007509216856406,2012-10-01
2012-11,0.03278920600533976,2012-11-01
2012-12,0.0682632452087025,2012-12-01
2013-01,0.04325786732966913,2013-01-01
2013-02,0.04383989033958376,2013-02-01
2013-03,0.02695762473407037,2013-03-01
2013-04,0.013006752541399607,2013-04-01
2013-05,0.0515924259678515,2013-05-01
2013-06,0.05012348754380858,2013-06-01
2013-07,0.05702127001422736,2013-07-01
2013-08,0.03195267144321814,2013-08-01
2013-09,0.05137580529068508,2013-09-01
2013-10,0.04509509404129255,2013-10-01
2013-11,0.07655675057629606,2013-11-01
2013-12,0.039105815052761575,2013-12-01
2014-01,0.045082542914802175,2014-01-01
2014-02,0.018946533648377475,2014-02-01
2014-03,0.05839412864645356,2014-03-01
2014-04,0.009341671440616645,2014-04-01
2014-05,0.037008985907678725,2014-05-01
2014-06,0.035423144663687,2014-06-01
2014-07,0.02263658082113892,2014-07-01
2014-08,0.07294299290244738,2014-08-01
2014-09,0.0631692685327328,2014-09-01
2014-10,0.04644130120873658,2014-10-01
2014-11,0.05367681573269152,2014-11-01
2014-12,0.023337360115154002,2014-12-01
